,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Schindler's List
(1993)",(1993),15,195 min,"Biography, Drama, History",9.0,"94        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,320,400
| Gross:
$96.90M"
1,"2.
Goodfellas
(1990)",(1990),15,145 min,"Biography, Crime, Drama",8.7,"90        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,121,560
| Gross:
$46.84M"
2,"3.
The Intouchables
(2011)",(2011),R,112 min,"Biography, Comedy, Drama",8.5,"57        
        Metascore","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Votes:
834,353
| Gross:
$13.18M"
3,"5.
The Pianist
(2002)",(2002),R,150 min,"Biography, Drama, Music",8.5,"85        
        Metascore",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Votes:
807,728
| Gross:
$32.57M"
4,"6.
Hamilton
(2020)",(2020),PG-13,160 min,"Biography, Drama, History",8.4,"90        
        Metascore","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Votes:
88,099"
5,"8.
Braveheart
(1995)",(1995),18,178 min,"Biography, Drama, History",8.4,"68        
        Metascore",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Votes:
1,019,120
| Gross:
$75.60M"
6,"9.
Amadeus
(1984)",(1984),R,160 min,"Biography, Drama, Music",8.4,"88        
        Metascore","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","Votes:
394,417
| Gross:
$51.97M"
7,"13.
Green Book
(2018)",(2018),15,130 min,"Biography, Comedy, Drama",8.2,"69        
        Metascore",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Votes:
466,719
| Gross:
$85.08M"
8,"16.
The Wolf of Wall Street
(2013)",(2013),R,180 min,"Biography, Comedy, Crime",8.2,"75        
        Metascore","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,346,976
| Gross:
$116.90M"
9,"17.
Der Untergang
(2004)",(2004),R,156 min,"Biography, Drama, History",8.2,"82        
        Metascore","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Votes:
350,978
| Gross:
$5.51M"
10,"18.
A Beautiful Mind
(2001)",(2001),PG-13,135 min,"Biography, Drama",8.2,"72        
        Metascore","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Votes:
913,236
| Gross:
$170.74M"
11,"19.
Raging Bull
(1980)",(1980),12,129 min,"Biography, Drama, Sport",8.2,"89        
        Metascore","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Votes:
347,034
| Gross:
$23.38M"
12,"23.
Hacksaw Ridge
(2016)",(2016),R,139 min,"Biography, Drama, History",8.1,"71        
        Metascore","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Votes:
504,603
| Gross:
$67.21M"
13,"24.
12 Years a Slave
(2013)",(2013),R,134 min,"Biography, Drama, History",8.1,"96        
        Metascore","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Votes:
687,671
| Gross:
$56.67M"
14,"25.
Rush
(I) (2013)",(I) (2013),R,123 min,"Action, Biography, Drama",8.1,"74        
        Metascore",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Votes:
469,971
| Gross:
$26.95M"
15,"26.
Ford v Ferrari
(2019)",(2019),PG-13,152 min,"Action, Biography, Drama",8.1,"81        
        Metascore",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Votes:
369,740
| Gross:
$117.62M"
16,"27.
Spotlight
(I) (2015)",(I) (2015),R,129 min,"Biography, Crime, Drama",8.1,"93        
        Metascore","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Votes:
460,572
| Gross:
$45.06M"
17,"29.
Into the Wild
(2007)",(2007),R,148 min,"Adventure, Biography, Drama",8.1,"73        
        Metascore","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Votes:
613,495
| Gross:
$18.35M"
18,"30.
Hotel Rwanda
(2004)",(2004),PG-13,121 min,"Biography, Drama, History",8.1,"79        
        Metascore","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Votes:
351,744
| Gross:
$23.53M"
19,"31.
Catch Me If You Can
(2002)",(2002),PG-13,141 min,"Biography, Crime, Drama",8.1,"75        
        Metascore","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Votes:
942,886
| Gross:
$164.62M"
20,"32.
In the Name of the Father
(1993)",(1993),R,133 min,"Biography, Crime, Drama",8.1,"84        
        Metascore",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Votes:
172,143
| Gross:
$25.01M"
21,"35.
The Sound of Music
(1965)",(1965),G,172 min,"Biography, Drama, Family",8.1,"63        
        Metascore",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Votes:
227,652
| Gross:
$163.21M"
22,"37.
Lion
(2016)",(2016),PG-13,118 min,"Biography, Drama",8.0,"69        
        Metascore","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","Votes:
232,886
| Gross:
$51.74M"
23,"38.
The Imitation Game
(2014)",(2014),PG-13,114 min,"Biography, Drama, Thriller",8.0,"71        
        Metascore","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.","Votes:
751,577
| Gross:
$91.13M"
24,"39.
The King's Speech
(2010)",(2010),R,118 min,"Biography, Drama, History",8.0,"88        
        Metascore","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Votes:
672,146
| Gross:
$138.80M"
25,"40.
Ip Man
(2008)",(2008),R,106 min,"Action, Biography, Drama",8.0,"59        
        Metascore","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.","Votes:
221,802"
26,"41.
Persepolis
(2007)",(2007),PG-13,96 min,"Animation, Biography, Drama",8.0,"90        
        Metascore",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Votes:
93,926
| Gross:
$4.45M"
27,"42.
The Pursuit of Happyness
(2006)",(2006),PG-13,117 min,"Biography, Drama",8.0,"64        
        Metascore",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Votes:
497,285
| Gross:
$163.57M"
28,"43.
Le scaphandre et le papillon
(2007)",(2007),PG-13,112 min,"Biography, Drama",8.0,"92        
        Metascore",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,"Votes:
107,212
| Gross:
$5.99M"
29,"44.
Mar adentro
(I) (2004)",(I) (2004),PG-13,126 min,"Biography, Drama",8.0,"74        
        Metascore","The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.","Votes:
81,327
| Gross:
$2.09M"
30,"45.
Cinderella Man
(2005)",(2005),PG-13,144 min,"Biography, Drama, Romance",8.0,"69        
        Metascore","The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.","Votes:
185,844
| Gross:
$61.65M"
31,"47.
Dog Day Afternoon
(1975)",(1975),12A,125 min,"Biography, Crime, Drama",8.0,"86        
        Metascore","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","Votes:
253,102
| Gross:
$50.00M"
