,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"2.
La vita è bella
(1997)",(1997),PG-13,116 min,"Comedy, Drama, Romance",8.6,"59        
        Metascore","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Votes:
678,420
| Gross:
$57.60M"
1,"3.
Gisaengchung
(2019)",(2019),12,132 min,"Comedy, Drama, Thriller",8.5,"96        
        Metascore",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Votes:
748,809
| Gross:
$53.37M"
2,"4.
The Intouchables
(2011)",(2011),R,112 min,"Biography, Comedy, Drama",8.5,"57        
        Metascore","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Votes:
834,353
| Gross:
$13.18M"
3,"7.
City Lights
(1931)",(1931),G,87 min,"Comedy, Drama, Romance",8.5,"99        
        Metascore","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Votes:
182,036
| Gross:
$0.02M"
4,"8.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
494,230
| Gross:
$190.24M"
5,"9.
Coco
(I) (2017)",(I) (2017),G,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
480,140
| Gross:
$209.73M"
6,"10.
3 Idiots
(2009)",(2009),G,170 min,"Comedy, Drama",8.4,"67        
        Metascore","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Votes:
387,557
| Gross:
$6.53M"
7,"11.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)",(1964),PG,95 min,"Comedy, War",8.4,"97        
        Metascore","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Votes:
481,458
| Gross:
$0.28M"
8,"13.
Everything Everywhere All at Once
(2022)",(2022),R,139 min,"Action, Adventure, Comedy",8.3,"81        
        Metascore","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","Votes:
100,667"
9,"14.
Up
(2009)",(2009),PG,96 min,"Animation, Adventure, Comedy",8.3,"88        
        Metascore","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Votes:
1,016,929
| Gross:
$293.00M"
10,"16.
Le fabuleux destin d'Amélie Poulain
(2001)",(2001),PG,122 min,"Comedy, Romance",8.3,"69        
        Metascore","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Votes:
744,893
| Gross:
$33.23M"
11,"17.
Snatch
(2000)",(2000),R,104 min,"Comedy, Crime",8.3,"55        
        Metascore","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Votes:
838,620
| Gross:
$30.33M"
12,"18.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"95        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Votes:
966,719
| Gross:
$191.80M"
