,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
The Godfather
(1972)",(1972),PG,175 min,"Crime, Drama",9.2,"100        
        Metascore",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Votes:
1,790,776
| Gross:
$134.97M"
1,"3.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,566,514
| Gross:
$534.86M"
2,"4.
The Godfather Part II
(1974)",(1974),12,202 min,"Crime, Drama",9.0,"90        
        Metascore","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,235,044
| Gross:
$57.30M"
3,"7.
Pulp Fiction
(1994)",(1994),12,154 min,"Crime, Drama",8.9,"94        
        Metascore","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
1,989,985
| Gross:
$107.93M"
4,"8.
Goodfellas
(1990)",(1990),15,145 min,"Biography, Crime, Drama",8.7,"90        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,121,560
| Gross:
$46.84M"
5,"10.
Cidade de Deus
(2002)",(2002),18,130 min,"Crime, Drama",8.6,"79        
        Metascore","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Votes:
742,856
| Gross:
$7.56M"
6,"11.
The Green Mile
(1999)",(1999),15,189 min,"Crime, Drama, Fantasy",8.6,"61        
        Metascore","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Votes:
1,261,729
| Gross:
$136.80M"
7,"12.
Se7en
(1995)",(1995),R,127 min,"Crime, Drama, Mystery",8.6,"65        
        Metascore","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Votes:
1,593,081
| Gross:
$100.13M"
8,"13.
The Silence of the Lambs
(1991)",(1991),15,118 min,"Crime, Drama, Thriller",8.6,"85        
        Metascore","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Votes:
1,389,584
| Gross:
$130.74M"
9,"15.
The Departed
(2006)",(2006),R,151 min,"Crime, Drama, Thriller",8.5,"85        
        Metascore",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Votes:
1,290,145
| Gross:
$132.38M"
10,"16.
American History X
(1998)",(1998),18,119 min,"Crime, Drama",8.5,"62        
        Metascore",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Votes:
1,098,970
| Gross:
$6.72M"
11,"17.
The Usual Suspects
(1995)",(1995),R,106 min,"Crime, Drama, Mystery",8.5,"77        
        Metascore","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Votes:
1,063,257
| Gross:
$23.34M"
12,"18.
Léon
(1994)",(1994),15,110 min,"Action, Crime, Drama",8.5,"64        
        Metascore","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Votes:
1,129,893
| Gross:
$19.50M"
13,"19.
Joker
(I) (2019)",(I) (2019),18,122 min,"Crime, Drama, Thriller",8.4,"59        
        Metascore",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"Votes:
1,199,688
| Gross:
$335.45M"
14,"25.
Snatch
(2000)",(2000),R,104 min,"Comedy, Crime",8.3,"55        
        Metascore","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Votes:
838,620
| Gross:
$30.33M"
15,"26.
Heat
(1995)",(1995),15,170 min,"Action, Crime, Drama",8.3,"76        
        Metascore",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Votes:
636,076
| Gross:
$67.44M"
16,"27.
Reservoir Dogs
(1992)",(1992),18,99 min,"Crime, Drama, Thriller",8.3,"79        
        Metascore","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Votes:
993,066
| Gross:
$2.83M"
17,"28.
Once Upon a Time in America
(1984)",(1984),R,229 min,"Crime, Drama",8.3,"75        
        Metascore","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Votes:
344,112
| Gross:
$5.32M"
18,"29.
Scarface
(1983)",(1983),18,170 min,"Crime, Drama",8.3,"65        
        Metascore","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Votes:
813,786
| Gross:
$45.60M"
19,"31.
A Clockwork Orange
(1971)",(1971),18,136 min,"Crime, Sci-Fi",8.3,"77        
        Metascore","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Votes:
812,004
| Gross:
$6.21M"
20,"42.
The Wolf of Wall Street
(2013)",(2013),R,180 min,"Biography, Comedy, Crime",8.2,"75        
        Metascore","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,346,976
| Gross:
$116.90M"
21,"43.
No Country for Old Men
(2007)",(2007),R,122 min,"Crime, Drama, Thriller",8.2,"92        
        Metascore",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Votes:
944,695
| Gross:
$74.28M"
22,"44.
Batman Begins
(2005)",(2005),12A,140 min,"Action, Crime, Drama",8.2,"70        
        Metascore","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Votes:
1,431,380
| Gross:
$206.85M"
23,"45.
Kill Bill: Vol. 1
(2003)",(2003),18,111 min,"Action, Crime, Drama",8.2,"69        
        Metascore","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Votes:
1,087,148
| Gross:
$70.10M"
24,"46.
Lock, Stock and Two Smoking Barrels
(1998)",(1998),R,107 min,"Action, Comedy, Crime",8.2,"66        
        Metascore","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Votes:
572,392
| Gross:
$3.90M"
25,"47.
L.A. Confidential
(1997)",(1997),18,138 min,"Crime, Drama, Mystery",8.2,"90        
        Metascore","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Votes:
573,085
| Gross:
$64.62M"
26,"48.
Casino
(1995)",(1995),R,178 min,"Crime, Drama",8.2,"73        
        Metascore","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Votes:
507,594
| Gross:
$42.44M"
27,"50.
Z
(1969)",(1969),M/PG,127 min,"Crime, Drama, Thriller",8.2,"86        
        Metascore",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,"Votes:
28,332
| Gross:
$0.08M"
