,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"2.
The Shawshank Redemption
(1994)",(1994),12A,142 min,Drama,9.3,"81        
        Metascore","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Votes:
2,595,499
| Gross:
$28.34M"
1,"3.
The Godfather
(1972)",(1972),PG,175 min,"Crime, Drama",9.2,"100        
        Metascore",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Votes:
1,790,776
| Gross:
$134.97M"
2,"4.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,566,514
| Gross:
$534.86M"
3,"5.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,783,014
| Gross:
$377.85M"
4,"6.
Schindler's List
(1993)",(1993),15,195 min,"Biography, Drama, History",9.0,"94        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,320,400
| Gross:
$96.90M"
5,"7.
The Godfather Part II
(1974)",(1974),12,202 min,"Crime, Drama",9.0,"90        
        Metascore","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,235,044
| Gross:
$57.30M"
6,"10.
Pulp Fiction
(1994)",(1994),12,154 min,"Crime, Drama",8.9,"94        
        Metascore","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
1,989,985
| Gross:
$107.93M"
7,"11.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,610,327
| Gross:
$342.55M"
8,"12.
Fight Club
(1999)",(1999),18,139 min,Drama,8.8,"66        
        Metascore",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Votes:
2,043,759
| Gross:
$37.03M"
9,"13.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,804,162
| Gross:
$315.54M"
10,"14.
Forrest Gump
(1994)",(1994),PG,142 min,"Drama, Romance",8.8,"82        
        Metascore","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Votes:
2,004,251
| Gross:
$330.25M"
11,"16.
Goodfellas
(1990)",(1990),15,145 min,"Biography, Crime, Drama",8.7,"90        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,121,560
| Gross:
$46.84M"
12,"18.
Top Gun: Maverick
(2022)",(2022),PG-13,130 min,"Action, Drama",8.6,"78        
        Metascore","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.","Votes:
122,923"
