,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Sen to Chihiro no kamikakushi
(2001)",(2001),G,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Votes:
735,366
| Gross:
$10.06M"
1,"2.
It's a Wonderful Life
(1946)",(1946),PG,130 min,"Drama, Family, Fantasy",8.6,"89        
        Metascore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Votes:
446,117"
2,"3.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,027,909
| Gross:
$422.78M"
3,"4.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
494,230
| Gross:
$190.24M"
4,"5.
Coco
(I) (2017)",(I) (2017),G,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
480,140
| Gross:
$209.73M"
5,"7.
Up
(2009)",(2009),PG,96 min,"Animation, Adventure, Comedy",8.3,"88        
        Metascore","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Votes:
1,016,929
| Gross:
$293.00M"
6,"10.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"95        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Votes:
966,719
| Gross:
$191.80M"
7,"12.
Inside Out
(I) (2015)",(I) (2015),PG,95 min,"Animation, Adventure, Comedy",8.2,"94        
        Metascore","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Votes:
690,488
| Gross:
$356.46M"
8,"14.
Hauru no ugoku shiro
(2004)",(2004),PG,119 min,"Animation, Adventure, Family",8.2,"80        
        Metascore","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Votes:
381,149
| Gross:
$4.71M"
9,"16.
Bacheha-Ye aseman
(1997)",(1997),PG,89 min,"Drama, Family, Sport",8.2,"77        
        Metascore","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Votes:
73,743
| Gross:
$0.93M"
10,"17.
Klaus
(2019)",(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"65        
        Metascore","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Votes:
142,789"
11,"18.
Ôkami kodomo no Ame to Yuki
(2012)",(2012),PG,117 min,"Animation, Drama, Family",8.1,"71        
        Metascore","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","Votes:
44,055"
12,"20.
How to Train Your Dragon
(2010)",(2010),PG,98 min,"Animation, Action, Adventure",8.1,"75        
        Metascore","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Votes:
722,278
| Gross:
$217.58M"
13,"22.
Ratatouille
(2007)",(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"96        
        Metascore",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Votes:
707,112
| Gross:
$206.45M"
14,"23.
Monsters, Inc.
(2001)",(2001),G,92 min,"Animation, Adventure, Comedy",8.1,"79        
        Metascore","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Votes:
886,054
| Gross:
$289.92M"
15,"24.
The Iron Giant
(1999)",(1999),G,86 min,"Animation, Action, Adventure",8.1,"85        
        Metascore",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Votes:
188,212
| Gross:
$23.16M"
16,"25.
Tonari no Totoro
(1988)",(1988),G,86 min,"Animation, Comedy, Family",8.1,"86        
        Metascore","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Votes:
328,819
| Gross:
$1.11M"
17,"26.
The Sound of Music
(1965)",(1965),G,172 min,"Biography, Drama, Family",8.1,"63        
        Metascore",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Votes:
227,652
| Gross:
$163.21M"
18,"27.
The Wizard of Oz
(1939)",(1939),G,102 min,"Adventure, Family, Fantasy",8.1,"92        
        Metascore","Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Votes:
391,263
| Gross:
$2.08M"
19,"29.
WolfWalkers
(2020)",(2020),PG,103 min,"Animation, Adventure, Family",8.0,"87        
        Metascore",A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Votes:
30,716"
20,"30.
Soul
(2020)",(2020),PG,100 min,"Animation, Adventure, Comedy",8.0,"83        
        Metascore","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Votes:
311,033"
21,"31.
Zootopia
(2016)",(2016),PG,108 min,"Animation, Adventure, Comedy",8.0,"78        
        Metascore","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Votes:
483,668
| Gross:
$341.27M"
22,"32.
Kaguya-hime no monogatari
(2013)",(2013),PG,137 min,"Animation, Drama, Family",8.0,"89        
        Metascore","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Votes:
45,469
| Gross:
$1.51M"
23,"33.
Song of the Sea
(2014)",(2014),PG,93 min,"Animation, Adventure, Drama",8.0,"85        
        Metascore","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.","Votes:
57,558
| Gross:
$0.86M"
24,"34.
The Incredibles
(2004)",(2004),G,115 min,"Animation, Action, Adventure",8.0,"90        
        Metascore","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Votes:
713,348
| Gross:
$261.44M"
25,"36.
Beauty and the Beast
(1991)",(1991),G,84 min,"Animation, Family, Fantasy",8.0,"95        
        Metascore",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Votes:
444,292
| Gross:
$218.97M"
26,"38.
Tenkû no shiro Rapyuta
(1986)",(1986),G,125 min,"Animation, Adventure, Family",8.0,"78        
        Metascore",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Votes:
163,541"
27,"40.
Togo
(2019)",(2019),PG,113 min,"Adventure, Biography, Drama",7.9,"69        
        Metascore","The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.","Votes:
47,348"
28,"41.
Wonder
(I) (2017)",(I) (2017),PG,113 min,"Drama, Family",7.9,"66        
        Metascore","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Votes:
160,395
| Gross:
$132.42M"
29,"42.
Fantastic Mr. Fox
(2009)",(2009),G,87 min,"Animation, Adventure, Comedy",7.9,"83        
        Metascore",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Votes:
225,710
| Gross:
$21.00M"
30,"43.
Harry Potter and the Prisoner of Azkaban
(2004)",(2004),G,142 min,"Adventure, Family, Fantasy",7.9,"82        
        Metascore","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Votes:
616,449
| Gross:
$249.36M"
31,"44.
Shrek
(2001)",(2001),G,90 min,"Animation, Adventure, Comedy",7.9,"84        
        Metascore","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Votes:
661,401
| Gross:
$267.67M"
32,"45.
Toy Story 2
(1999)",(1999),G,92 min,"Animation, Adventure, Comedy",7.9,"88        
        Metascore","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Votes:
567,702
| Gross:
$245.85M"
33,"46.
Mimi wo sumaseba
(1995)",(1995),G,111 min,"Animation, Drama, Family",7.9,"75        
        Metascore","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","Votes:
60,981"
34,"47.
The Nightmare Before Christmas
(1993)",(1993),PG,76 min,"Animation, Family, Fantasy",7.9,"82        
        Metascore","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Votes:
327,461
| Gross:
$75.08M"
35,"49.
E.T. the Extra-Terrestrial
(1982)",(1982),G,115 min,"Adventure, Family, Sci-Fi",7.9,"91        
        Metascore",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"Votes:
399,755
| Gross:
$435.11M"
