,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,783,014
| Gross:
$377.85M"
1,"2.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,610,327
| Gross:
$342.55M"
2,"3.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,804,162
| Gross:
$315.54M"
3,"4.
The Empire Strikes Back
(1980)",(1980),PG,124 min,"Action, Adventure, Fantasy",8.7,"82        
        Metascore","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Votes:
1,255,460
| Gross:
$290.48M"
4,"5.
Sen to Chihiro no kamikakushi
(2001)",(2001),G,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Votes:
735,366
| Gross:
$10.06M"
5,"6.
The Green Mile
(1999)",(1999),15,189 min,"Crime, Drama, Fantasy",8.6,"61        
        Metascore","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Votes:
1,261,729
| Gross:
$136.80M"
6,"7.
Star Wars
(1977)",(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"90        
        Metascore","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Votes:
1,327,279
| Gross:
$322.74M"
7,"8.
It's a Wonderful Life
(1946)",(1946),PG,130 min,"Drama, Family, Fantasy",8.6,"89        
        Metascore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Votes:
446,117"
8,"9.
Kimi no na wa.
(2016)",(2016),G,106 min,"Animation, Drama, Fantasy",8.4,"79        
        Metascore","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Votes:
252,550
| Gross:
$5.02M"
9,"10.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
494,230
| Gross:
$190.24M"
10,"11.
Coco
(I) (2017)",(I) (2017),G,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
480,140
| Gross:
$209.73M"
11,"12.
Mononoke-hime
(1997)",(1997),PG,134 min,"Animation, Adventure, Fantasy",8.4,"76        
        Metascore","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Votes:
383,486
| Gross:
$2.38M"
12,"13.
Everything Everywhere All at Once
(2022)",(2022),R,139 min,"Action, Adventure, Comedy",8.3,"81        
        Metascore","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","Votes:
100,667"
13,"14.
Spider-Man: No Way Home
(2021)",(2021),PG-13,148 min,"Action, Adventure, Fantasy",8.3,"71        
        Metascore","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Votes:
649,056
| Gross:
$804.75M"
14,"16.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"95        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Votes:
966,719
| Gross:
$191.80M"
15,"17.
Star Wars: Episode VI - Return of the Jedi
(1983)",(1983),G,131 min,"Action, Adventure, Fantasy",8.3,"58        
        Metascore","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Votes:
1,025,566
| Gross:
$309.13M"
16,"19.
Inside Out
(I) (2015)",(I) (2015),PG,95 min,"Animation, Adventure, Comedy",8.2,"94        
        Metascore","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Votes:
690,488
| Gross:
$356.46M"
17,"20.
Kimetsu no Yaiba: Mugen Ressha-Hen
(2020)",(2020),R,117 min,"Animation, Action, Adventure",8.2,"72        
        Metascore","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Votes:
52,984
| Gross:
$47.70M"
18,"21.
Pan's Labyrinth
(2006)",(2006),R,118 min,"Drama, Fantasy, War",8.2,"98        
        Metascore","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Votes:
657,749
| Gross:
$37.63M"
19,"22.
Hauru no ugoku shiro
(2004)",(2004),PG,119 min,"Animation, Adventure, Family",8.2,"80        
        Metascore","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Votes:
381,149
| Gross:
$4.71M"
20,"24.
Klaus
(2019)",(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"65        
        Metascore","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Votes:
142,789"
21,"26.
Ôkami kodomo no Ame to Yuki
(2012)",(2012),PG,117 min,"Animation, Drama, Family",8.1,"71        
        Metascore","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","Votes:
44,055"
