,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Schindler's List
(1993)",(1993),15,195 min,"Biography, Drama, History",9.0,"94        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,320,400
| Gross:
$96.90M"
1,"3.
Hamilton
(2020)",(2020),PG-13,160 min,"Biography, Drama, History",8.4,"90        
        Metascore","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Votes:
88,099"
2,"4.
Braveheart
(1995)",(1995),18,178 min,"Biography, Drama, History",8.4,"68        
        Metascore",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Votes:
1,019,120
| Gross:
$75.60M"
3,"7.
Der Untergang
(2004)",(2004),R,156 min,"Biography, Drama, History",8.2,"82        
        Metascore","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Votes:
350,978
| Gross:
$5.51M"
4,"10.
Hacksaw Ridge
(2016)",(2016),R,139 min,"Biography, Drama, History",8.1,"71        
        Metascore","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Votes:
504,603
| Gross:
$67.21M"
5,"11.
12 Years a Slave
(2013)",(2013),R,134 min,"Biography, Drama, History",8.1,"96        
        Metascore","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Votes:
687,671
| Gross:
$56.67M"
6,"12.
Hotel Rwanda
(2004)",(2004),PG-13,121 min,"Biography, Drama, History",8.1,"79        
        Metascore","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Votes:
351,744
| Gross:
$23.53M"
7,"19.
The Revenant
(2015)",(2015),R,156 min,"Action, Adventure, Drama",8.0,"76        
        Metascore",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Votes:
780,526
| Gross:
$183.64M"
8,"20.
The King's Speech
(2010)",(2010),R,118 min,"Biography, Drama, History",8.0,"88        
        Metascore","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Votes:
672,146
| Gross:
$138.80M"
9,"21.
Ip Man
(2008)",(2008),R,106 min,"Action, Biography, Drama",8.0,"59        
        Metascore","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.","Votes:
221,802"
10,"22.
Persepolis
(2007)",(2007),PG-13,96 min,"Animation, Biography, Drama",8.0,"90        
        Metascore",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Votes:
93,926
| Gross:
$4.45M"
11,"23.
JFK
(1991)",(1991),R,189 min,"Drama, History, Thriller",8.0,"72        
        Metascore",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"Votes:
153,847
| Gross:
$70.41M"
12,"27.
Togo
(2019)",(2019),PG,113 min,"Adventure, Biography, Drama",7.9,"69        
        Metascore","The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.","Votes:
47,348"
13,"29.
Letters from Iwo Jima
(2006)",(2006),R,141 min,"Action, Adventure, Drama",7.9,"89        
        Metascore","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Votes:
161,620
| Gross:
$13.76M"
14,"30.
Ying xiong
(2002)",(2002),PG-13,120 min,"Action, Adventure, Drama",7.9,"85        
        Metascore","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","Votes:
180,329
| Gross:
$53.71M"
15,"39.
Dunkirk
(2017)",(2017),PG-13,106 min,"Action, Drama, History",7.8,"94        
        Metascore","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Votes:
634,889
| Gross:
$188.37M"
16,"40.
Hidden Figures
(2016)",(2016),PG,127 min,"Biography, Drama, History",7.8,"74        
        Metascore",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"Votes:
223,445
| Gross:
$169.61M"
17,"41.
Under sandet
(2015)",(2015),R,100 min,"Drama, History, War",7.8,"75        
        Metascore","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.","Votes:
40,597
| Gross:
$0.44M"
18,"42.
Pride
(I) (2014)",(I) (2014),R,119 min,"Biography, Comedy, Drama",7.8,"79        
        Metascore",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,"Votes:
55,945"
19,"43.
The Big Short
(2015)",(2015),R,130 min,"Biography, Comedy, Drama",7.8,"81        
        Metascore","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.","Votes:
417,554
| Gross:
$70.26M"
20,"44.
Straight Outta Compton
(2015)",(2015),R,147 min,"Biography, Drama, History",7.8,"72        
        Metascore","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","Votes:
197,868
| Gross:
$161.20M"
21,"45.
Changeling
(2008)",(2008),R,141 min,"Biography, Crime, Drama",7.8,"63        
        Metascore",Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,"Votes:
253,023
| Gross:
$35.74M"
22,"46.
Tombstone
(1993)",(1993),R,130 min,"Biography, Drama, History",7.8,"50        
        Metascore","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","Votes:
145,087
| Gross:
$56.51M"
23,"49.
The Killing Fields
(1984)",(1984),15,141 min,"Biography, Drama, History",7.8,"76        
        Metascore","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.","Votes:
55,203
| Gross:
$34.70M"
