,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Alien
(1979)",(1979),12,117 min,"Horror, Sci-Fi",8.5,"89        
        Metascore",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Votes:
856,487
| Gross:
$78.90M"
1,"2.
Psycho
(1960)",(1960),12,109 min,"Horror, Mystery, Thriller",8.5,"97        
        Metascore","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Votes:
655,168
| Gross:
$32.00M"
2,"3.
The Shining
(1980)",(1980),15,146 min,"Drama, Horror",8.4,"66        
        Metascore","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Votes:
988,612
| Gross:
$44.02M"
3,"5.
Kimetsu no Yaiba: Mugen Ressha-Hen
(2020)",(2020),R,117 min,"Animation, Action, Adventure",8.2,"72        
        Metascore","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Votes:
52,984
| Gross:
$47.70M"
4,"6.
The Thing
(1982)",(1982),15,109 min,"Horror, Mystery, Sci-Fi",8.2,"57        
        Metascore",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Votes:
410,841
| Gross:
$13.78M"
5,"7.
The Exorcist
(1973)",(1973),15,122 min,Horror,8.1,"81        
        Metascore","When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","Votes:
393,788
| Gross:
$232.91M"
6,"13.
Låt den rätte komma in
(2008)",(2008),R,114 min,"Drama, Fantasy, Horror",7.9,"82        
        Metascore","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Votes:
214,954
| Gross:
$2.12M"
7,"14.
Shaun of the Dead
(2004)",(2004),R,99 min,"Comedy, Horror",7.9,"76        
        Metascore","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.","Votes:
547,658
| Gross:
$13.54M"
8,"19.
Predator
(1987)",(1987),15,107 min,"Action, Adventure, Horror",7.8,"45        
        Metascore",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,"Votes:
401,216
| Gross:
$59.74M"
9,"20.
Dawn of the Dead
(1978)",(1978),18,127 min,"Horror, Thriller",7.8,"71        
        Metascore","Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.","Votes:
119,129
| Gross:
$5.10M"
